"","es","ss_per_period","power","sd","n","se","low_95","high_95","num_per_cluster"
"1",0.03,50,0.085,0.279581525043642,200,0.0197693992252836,0.0462519775184442,0.123748022481556,1
"2",0.05,50,0.09,0.286899909008255,200,0.020286887118154,0.0502377012484181,0.129762298751582,1
"3",0.1,50,0.195,0.397194938406165,200,0.0280859234399972,0.139951590057605,0.250048409942395,1
"4",0.15,50,0.43,0.496318101917971,200,0.0350949895491833,0.361213820483601,0.498786179516399,1
"5",0.03,150,0.095,0.293950735967576,200,0.0207854558737449,0.05426050648746,0.13573949351254,3
"6",0.05,150,0.15,0.357967461534687,200,0.0253121219495312,0.100388240978919,0.199611759021081,3
"7",0.1,150,0.415,0.493958474848212,200,0.0349281387189735,0.346540848110812,0.483459151889188,3
"8",0.15,150,0.825,0.380920598698158,200,0.0269351538433107,0.772207098467111,0.877792901532889,3
"9",0.03,250,0.105,0.307322690637877,200,0.0217309958562539,0.0624072481217424,0.147592751878258,5
"10",0.05,250,0.325,0.469550196395096,200,0.0332022127978448,0.259923662916224,0.390076337083776,5
"11",0.1,250,0.73,0.44507353579078,200,0.0314714515284334,0.668315955004271,0.791684044995729,5
"12",0.15,250,0.97,0.171015295093097,200,0.0120926074846947,0.946298489329998,0.993701510670002,5
"13",0.03,350,0.155,0.36281285234835,200,0.0256547428197152,0.104716704073358,0.205283295926642,6
"14",0.05,350,0.31,0.463653830321566,200,0.0327852767543496,0.245740857561475,0.374259142438525,6
"15",0.1,350,0.865,0.342581098493811,200,0.024224141785131,0.817520682101143,0.912479317898857,6
"16",0.15,350,0.99,0.0997484272744117,200,0.00705327893384297,0.976175573289668,1.00382442671033,6
"17",0.03,450,0.2,0.401003765693668,200,0.0283552482003334,0.144423713527346,0.255576286472654,8
"18",0.05,450,0.36,0.481204518832402,200,0.0340262978404001,0.293308456232816,0.426691543767184,8
"19",0.1,450,0.925,0.264052301808661,200,0.0186713173196821,0.888404218053423,0.961595781946577,8
"20",0.15,450,1,0,200,0,1,1,8
"21",0.03,550,0.195,0.397194938406165,200,0.0280859234399972,0.139951590057605,0.250048409942395,10
"22",0.05,550,0.46,0.499648117384655,200,0.0353304572009782,0.390752303886083,0.529247696113917,10
"23",0.1,550,0.965,0.18424093903932,200,0.0130278017366881,0.939465508596091,0.990534491403909,10
"24",0.15,550,1,0,200,0,1,1,10
"25",0.03,650,0.205,0.40471467708652,200,0.0286176492613602,0.148909407447734,0.261090592552266,11
"26",0.05,650,0.535,0.500025124996875,200,0.0353571156648942,0.465700053296807,0.604299946703193,11
"27",0.1,650,0.99,0.0997484272744117,200,0.00705327893384297,0.976175573289668,1.00382442671033,11
"28",0.15,650,1,0,200,0,1,1,11
"29",0.03,750,0.315,0.465681539769843,200,0.0329286574644649,0.250459831369649,0.379540168630351,13
"30",0.05,750,0.6,0.491127305442035,200,0.034727944810394,0.531933228171628,0.668066771828372,13
"31",0.1,750,0.995,0.0707106781186548,200,0.005,0.9852,1.0048,13
"32",0.15,750,1,0,200,0,1,1,13
"33",0.03,850,0.285,0.452547229551651,200,0.0319999214823157,0.222280153894661,0.347719846105339,15
"34",0.05,850,0.6,0.491127305442035,200,0.034727944810394,0.531933228171628,0.668066771828372,15
"35",0.1,850,0.995,0.0707106781186548,200,0.005,0.9852,1.0048,15
"36",0.15,850,1,0,200,0,1,1,15
"37",0.03,950,0.315,0.465681539769843,200,0.0329286574644649,0.250459831369649,0.379540168630351,16
"38",0.05,950,0.735,0.44244069528494,200,0.0312852815908872,0.673680848081861,0.796319151918139,16
"39",0.1,950,1,0,200,0,1,1,16
"40",0.15,950,1,0,200,0,1,1,16
"41",0.03,1050,0.375,0.485337783218137,200,0.0343185637679591,0.3077356150148,0.4422643849852,18
"42",0.05,1050,0.705,0.457187161349171,200,0.0323280142061427,0.64163709215596,0.76836290784404,18
"43",0.1,1050,1,0,200,0,1,1,18
"44",0.15,1050,1,0,200,0,1,1,18
"45",0.03,1150,0.34,0.474897502826615,200,0.0335803244617257,0.274182564055018,0.405817435944982,20
"46",0.05,1150,0.815,0.389271965747063,200,0.0275256846705566,0.761049658045709,0.868950341954291,20
"47",0.1,1150,1,0,200,0,1,1,20
"48",0.15,1150,1,0,200,0,1,1,20
"49",0.03,1250,0.415,0.493958474848212,200,0.0349281387189735,0.346540848110812,0.483459151889188,21
"50",0.05,1250,0.82,0.385151539712246,200,0.0272343265514969,0.766620719959066,0.873379280040934,21
"51",0.1,1250,1,0,200,0,1,1,21
"52",0.15,1250,1,0,200,0,1,1,21
"53",0.03,1350,0.445,0.498212886627805,200,0.0352289710609045,0.375951216720627,0.514048783279373,23
