"","es","ss_per_period","power","sd","n","se","low_95","high_95","num_per_cluster"
"1",0.03,50,0.04,0.196450922176814,200,0.0138911779241576,0.0127732912686511,0.0672267087313489,1
"2",0.05,50,0.095,0.293950735967576,200,0.0207854558737449,0.05426050648746,0.13573949351254,1
"3",0.1,50,0.2,0.401003765693668,200,0.0283552482003334,0.144423713527346,0.255576286472654,1
"4",0.15,50,0.365,0.482638268781561,200,0.0341276792715577,0.298109748627747,0.431890251372253,1
"5",0.03,100,0.05,0.218491861329745,200,0.0154497076780334,0.0197185729510546,0.0802814270489454,2
"6",0.05,100,0.155,0.36281285234835,200,0.0256547428197152,0.104716704073358,0.205283295926642,2
"7",0.1,100,0.345,0.476561174209376,200,0.0336979637933673,0.278951990965,0.411048009035,2
"8",0.15,100,0.66,0.474897502826615,200,0.0335803244617257,0.594182564055018,0.725817435944982,2
"9",0.03,150,0.075,0.264052301808661,200,0.0186713173196821,0.0384042180534231,0.111595781946577,3
"10",0.05,150,0.15,0.357967461534687,200,0.0253121219495312,0.100388240978919,0.199611759021081,3
"11",0.1,150,0.485,0.501029091723992,200,0.0354281068329772,0.415560910607365,0.554439089392635,3
"12",0.15,150,0.815,0.389271965747063,200,0.0275256846705566,0.761049658045709,0.868950341954291,3
"13",0.03,200,0.075,0.264052301808661,200,0.0186713173196821,0.0384042180534231,0.111595781946577,4
"14",0.05,200,0.24,0.428154858567053,200,0.030275120389073,0.180660764037417,0.299339235962583,4
"15",0.1,200,0.615,0.487816383612321,200,0.034493827282617,0.547392098526071,0.682607901473929,4
"16",0.15,200,0.905,0.293950735967576,200,0.0207854558737449,0.86426050648746,0.94573949351254,4
"17",0.03,250,0.08,0.271973986341031,200,0.019231465004808,0.0423063285905763,0.117693671409424,5
"18",0.05,250,0.29,0.454900729134208,200,0.0321663390337503,0.226953975493849,0.353046024506151,5
"19",0.1,250,0.755,0.431166467403328,200,0.0304880732921142,0.695243376347456,0.814756623652544,5
"20",0.15,250,0.97,0.171015295093097,200,0.0120926074846947,0.946298489329998,0.993701510670002,5
"21",0.03,300,0.145,0.352984404683477,200,0.0249597666204783,0.0960788574238625,0.193921142576137,5
"22",0.05,300,0.335,0.473174885599193,200,0.0334585170294358,0.269421306622306,0.400578693377694,5
"23",0.1,300,0.825,0.380920598698158,200,0.0269351538433107,0.772207098467111,0.877792901532889,5
"24",0.15,300,0.97,0.171015295093097,200,0.0120926074846947,0.946298489329998,0.993701510670002,5
